Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
4th Avenue Beach,https://www.4thavebeach.com/,Seattle,WA,Unknown,pickleball; volleyball,Indoor,3,"Ave Beach has all your play options for pickleball and volleyball! With 5 sand courts and 3 pickleball courts, find the play for you! Use the 4th Ave Beach CourtReserve app and join us for open plays",Matt,Merry,Owner,,contact@4thavebeach.com,matt@4thavebeach.com,matt.merry@4thavebeach.com,mattmerry@4thavebeach.com,mmerry@4thavebeach.com,m.merry@4thavebeach.com,mattm@4thavebeach.com,4thavebeach.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.4thavebeach.com/ | https://www.4thavebeach.com/membership/ | https://www.4thavebeach.com/wp-content/uploads/2025/06/vball-courts.webp | https://www.4thavebeach.com/about/ | https://www.4thavebeach.com/contact/,Playwright,https://4thavebeach.com,https://www.4thavebeach.com/,
Armory Pickleball,https://www.armorypickleball.net/,Ellensburg,WA,Pickleball Club,pickleball,Indoor,4,"ed access, leagues, lessons, ... Aug 3, 2026 · Armory Pickleball in Ellensburg, WA offers 4 indoor courts and a membership-based experience with year-round play, lessons, leagues, and youth and c",,,,,,,,,,,,armorypickleball.net,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.armorypickleball.net/ | https://www.armorypickleball.net/membership | https://www.armorypickleball.net/about-us | https://www.armorypickleball.net/contact,Playwright,https://armorypickleball.net,https://www.armorypickleball.net/,
Auburn FieldhouseUSA,https://auburn.fieldhouseusa.com/,Auburn,WA,Fieldhouse,basketball; volleyball,Indoor,7,ess Quest Fitness Quest MMA Fitness Quest MMA FieldhouseUSA Courts FieldhouseUSA features 7 basketball courts and 8 volleyball courts. Come Join the EXPERIENCE! A Wide Range of Events & Activities An,Christian,Faltenberger,General Manager,,,christian@auburn.fieldhouseusa.com,christian.faltenberger@auburn.fieldhouseusa.com,christianfaltenberger@auburn.fieldhouseusa.com,cfaltenberger@auburn.fieldhouseusa.com,c.faltenberger@auburn.fieldhouseusa.com,christianf@auburn.fieldhouseusa.com,auburn.fieldhouseusa.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://auburn.fieldhouseusa.com/ | https://auburn.fieldhouseusa.com/sports/ | https://auburn.fieldhouseusa.com/contact/ | https://auburn.fieldhouseusa.com/about/ | https://auburn.fieldhouseusa.com/join/,Playwright,https://auburn.fieldhouseusa.com,https://auburn.fieldhouseusa.com/,
BadmintonClubs,https://badmintonclubs.org/,Liberty Lake,WA,College / University,badminton,Indoor,,,,,,,,,,,,,,badmintonclubs.org,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://badmintonclubs.org/ | https://badmintonclubs.org/about | https://badmintonclubs.org/contact,Playwright,https://badmintonclubs.org,https://badmintonclubs.org/,
bainbridge island pickleball,https://www.bainbridge-pickleball.org/,Bainbridge Island,WA,Pickleball Club,pickleball; tennis,Indoor,2,Park BIP has raised money and partnered with Bainbridge Island Parks District to convert two tennis courts into six dedicated pickleball courts for a total of twelve pickleball courts. Improvement,,,,bipickleballcommunity@gmail.com,,,,,,,,bainbridge-pickleball.org,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.bainbridge-pickleball.org/ | https://www.bainbridge-pickleball.org/our-courts | https://www.bainbridge-pickleball.org/membership | https://www.bainbridge-pickleball.org/contact | https://www.bainbridge-pickleball.org/our-vision,Playwright,https://bainbridge-pickleball.org,https://www.bainbridge-pickleball.org/,
Bainbridge Island Resource Directory,https://resourcedirectorybi.org/,Bainbridge Island,WA,Unknown,basketball,Indoor,,,,,,,,,,,,,,resourcedirectorybi.org,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.,https://resourcedirectorybi.org/ | https://resourcedirectorybi.org/contact/,Playwright,https://resourcedirectorybi.org,https://resourcedirectorybi.org/,
Basha Tennis,https://bashatennis.com/,Seattle,WA,Racquet / Tennis Club,tennis; squash,Indoor,,,,,,,,,,,,,,bashatennis.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://bashatennis.com/,Playwright,https://bashatennis.com,https://bashatennis.com/,
BC Soccer Training,https://bcsoccertraining.com/,Seattle,WA,Private Club,futsal,Indoor,,,,,,,,,,,,,,bcsoccertraining.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://bcsoccertraining.com/ | https://bcsoccertraining.com/contact | https://bcsoccertraining.com/what-we-do,Playwright,https://bcsoccertraining.com,https://bcsoccertraining.com/,
Bellevue Badminton Club,https://www.bellevuebadminton.com/,Bellevue,WA,Private Club,pickleball; basketball; badminton,Indoor,62,"Pickleball About ▾ Bellevue Badminton Club — Badminton Courts Across Greater Seattle With 62 courts across 5 locations in Bellevue, Mukilteo, Redmond, Renton, and now Southcenter, Bellevue",Geoff,Stensland,President,,info@bellevuebadminton.com,geoff@bellevuebadminton.com,geoff.stensland@bellevuebadminton.com,geoffstensland@bellevuebadminton.com,gstensland@bellevuebadminton.com,g.stensland@bellevuebadminton.com,geoffs@bellevuebadminton.com,bellevuebadminton.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.bellevuebadminton.com/ | https://www.bellevuebadminton.com/reserve-a-court | https://www.bellevuebadminton.com/memberships | https://www.bellevuebadminton.com/training/junior-programs | https://www.bellevuebadminton.com/equipment-rental-2 | https://www.bellevuebadminton.com/about-us,Playwright,https://bellevuebadminton.com,https://www.bellevuebadminton.com/,
Bellevue Club,https://www.bellevueclub.com/,Bellevue,WA,Private Club,tennis; basketball; squash; racquetball,Indoor,6,"ellevue Club’s athletic programs. Fitted with four spacious workout studios, three pools, six indoor tennis courts and a full-sized basketball court, our facility has options for everyone no matter your a",,,,membershipservices@bellevueclub.com,info@bellevueclub.com,,,,,,,bellevueclub.com,Confirmed Indoor,Indoor court language found on site. WA location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.bellevueclub.com/ | https://www.bellevueclub.com/join/ | https://www.bellevueclub.com/contact-us/,Playwright,https://bellevueclub.com,https://www.bellevueclub.com/,
