Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
MD-REVIEW-0001,4 Star Athletic Complex - Williamsport,http://www.4stargym.com/web/,,MD,Athletic Center,tennis; basketball; racquetball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,4stargym.com,,info@4stargym.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",http://www.4stargym.com/web/ | http://www.4stargym.com/web/index.php/about-us | http://www.4stargym.com/web/index.php/about-us/info | http://www.4stargym.com/web/index.php/rentals | http://www.4stargym.com/web/index.php/rentals/rentalinfo
MD-REVIEW-0002,All City Volleyball Club,https://www.allcityvolleyball.com/,,MD,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,allcityvolleyball.com,allcityathleticsclub@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.allcityvolleyball.com/ | https://www.allcityvolleyball.com/aboutus | https://www.allcityvolleyball.com/page/show/9274082-sparks-player-development-program
MD-REVIEW-0003,Allegany College of Maryland,https://acmtrojans.com/,,MD,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acmtrojans.com,,,,,,,,,0,"Court sports found, but indoor/outdoor not stated. MD location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank.",https://acmtrojans.com/
MD-REVIEW-0004,Arbutus Recreation Council > Home,https://www.arbutusrec.org/,Arbutus,MD,Unknown,basketball; badminton,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,arbutusrec.org,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.arbutusrec.org/ | https://www.arbutusrec.org/Default.aspx
MD-REVIEW-0005,Area Youth Ministry,https://www.areayouth.org/,,MD,College / University,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,areayouth.org,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.areayouth.org/ | https://www.areayouth.org/about-us | https://www.areayouth.org/contact-us
MD-REVIEW-0006,ATC Corp of Maryland,https://atccorpmd.com/,Baltimore,MD,Country Club,pickleball; tennis; basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,17,LEARN MORE Free Estimate! CONTACT US Inline Hockey Courts LEARN MORE Tracks Serviced in 2017 Tennis Courts Serviced in 2017 Satisfied Customers Recent Projects ATC and Howard County | Alpha Ridge,,,,,atccorpmd.com,,info@atccorpmd.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://atccorpmd.com/ | https://atccorpmd.com/who-we-are/ | https://atccorpmd.com/tennis_courts/ | https://atccorpmd.com/pickle_ball_courts/ | https://atccorpmd.com/clay_courts/ | https://atccorpmd.com/contact/ | https://atccorpmd.com/basketball/
MD-REVIEW-0007,AussieNick Squash,https://aussienicksquash.com/,Chevy Chase,MD,Racquet / Tennis Club,pickleball; squash; racquetball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,aussienicksquash.com,,,,,,,,,3,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://aussienicksquash.com/ | https://aussienicksquash.com/about/ | https://aussienicksquash.com/meet-the-team/ | https://aussienicksquash.com/contact/
MD-REVIEW-0008,B'More Padel,https://bmorepadel.com/,Baltimore,MD,Private Club,tennis; squash; padel,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,3,ular Military / 1st Responder Student Most Applicable If You Play XX Per Month - 5 7 8+ 4 3 Court Booking Discount N/A 25% 50% 100% 20% 25% Court Booking Costs (Peak/Prime Times) $30 / 90,,,,,bmorepadel.com,,info@bmorepadel.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://bmorepadel.com/ | https://bmorepadel.com/booking | https://bmorepadel.com/membership
MD-REVIEW-0009,Backyard Inflatables,https://www.backyardinflatables.com/,,MD,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,backyardinflatables.com,,info@backyardinflatables.com,,,,,,,4,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.backyardinflatables.com/ | https://www.backyardinflatables.com/contact-us/ | https://www.backyardinflatables.com/rental-pricing-policies/ | https://www.backyardinflatables.com/rentals-quick-form/
MD-REVIEW-0010,Badminton Canada,https://www.badminton.ca/,,MD,Unknown,badminton,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Bryan,Merrett,Bryan Merrett,Executive Director,badminton.ca,bmerrett@badminton.ca,info@badminton.ca,,,,,,,6,"Court sports and paid access found, but indoor/outdoor not stated. MD location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.badminton.ca/ | https://www.badminton.ca/page/27748/Staff-and-Contacts | https://www.badminton.ca/page/38277/Alumni
