Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
WA-REVIEW-0001,03 Int,https://www.03intlbadminton.net/,,WA,Private Club,badminton,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,03intlbadminton.net,,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Third-party email removed (not on facility domain).",https://www.03intlbadminton.net/ | https://www.03intlbadminton.net/membership | https://www.03intlbadminton.net/scheduling | https://www.03intlbadminton.net/location
WA-REVIEW-0002,253Elite.com,https://www.253elite.com/,Tacoma,WA,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,253elite.com,253elitevbc@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.253elite.com/ | https://www.253elite.com/aboutus
WA-REVIEW-0003,90TEN Training Academy,https://www.90ten.net/,Centralia,WA,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Robin,Johnson,Robin Johnson,Owner,90ten.net,,,robin@90ten.net,robin.johnson@90ten.net,robinjohnson@90ten.net,rjohnson@90ten.net,r.johnson@90ten.net,robinj@90ten.net,1,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://www.90ten.net/ | https://www.90ten.net/programs/ | https://www.90ten.net/programs/leagues/ | https://www.90ten.net/about/ | https://www.90ten.net/our-team/ | https://www.90ten.net/about/support/ | https://www.90ten.net/contact-us/
WA-REVIEW-0004,Academy Sports Center,https://www.academyvb.com/,Lynnwood,WA,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,4,"autiful and comfortable facility for both participants and their fans. AMENITIES INCLUDE: 4 Courts used for tournaments Heated hardwood floors Unobstructed, high ceilings Plenty of bench a",,,,,academyvb.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://www.academyvb.com/ | https://www.academyvb.com/page/show/2884679-why-choose-academy- | https://www.academyvb.com/academyprograms | https://www.academyvb.com/facilityinformation
WA-REVIEW-0005,Advantage Basketball Camps,https://m.advantagebasketball.com/,Lynnwood,WA,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,advantagebasketball.com,,info@advantagebasketball.com,,,,,,,2,"Court sports found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.",https://m.advantagebasketball.com/ | https://m.advantagebasketball.com/about.htm | https://m.advantagebasketball.com/contact.htm
WA-REVIEW-0006,Alpine Fitness Gym,https://alpinefitnessgym.com/,North Bend,WA,College / University,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,alpinefitnessgym.com,derwin@alpinefitnessgym.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://alpinefitnessgym.com/ | https://alpinefitnessgym.com/about-us.html
WA-REVIEW-0007,"American Arenas®: Tickets for Sports, Concerts, Theater...",https://americanarenas.com/,,WA,Unknown,tennis; basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Alexander,Delrey,Alexander Delrey,Founder,americanarenas.com,,,alexander@americanarenas.com,alexander.delrey@americanarenas.com,alexanderdelrey@americanarenas.com,adelrey@americanarenas.com,a.delrey@americanarenas.com,alexanderd@americanarenas.com,1,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://americanarenas.com/ | https://americanarenas.com/venue/court-central-at-iga-stadium/ | https://americanarenas.com/about/ | https://americanarenas.com/contact-us/
WA-REVIEW-0008,Angel of the Winds -,https://angelofthewinds.com/,Arlington,WA,College / University,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,angelofthewinds.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://angelofthewinds.com/ | https://angelofthewinds.com/entertain/uw-husky-athletics-partnership/ | https://angelofthewinds.com/more/contact-us/
WA-REVIEW-0009,Apex NW Volleyball Club,https://www.apexnwvolleyballclub.org/,Ferndale,WA,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,apexnwvolleyballclub.org,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.apexnwvolleyballclub.org/ | https://www.apexnwvolleyballclub.org/aboutus
WA-REVIEW-0010,Arbor Heights Swim & Tennis Club,https://www.ahstc.com/,Seattle,WA,Racquet / Tennis Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,ahstc.com,,programs@ahstc.com,,,,,,,9,"Court sports and paid access found, but indoor/outdoor not stated. WA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.ahstc.com/ | https://www.ahstc.com/contact/ | https://www.ahstc.com/membership/manage-account/ | https://www.ahstc.com/about/ | https://www.ahstc.com/about/bylaws/ | https://www.ahstc.com/about/contacts-board-of-directors/ | https://www.ahstc.com/about/general-membership-meeting-minutes/
