Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
TX-REVIEW-0001,"""Experience the leading basketball training and development ...",https://thepitcenter.com/,,TX,Unknown,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,thepitcenter.com,thepitcenter1@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://thepitcenter.com/ | https://thepitcenter.com/about-us | https://thepitcenter.com/contact-us | https://thepitcenter.com/membership | https://thepitcenter.com/rental
TX-REVIEW-0002,| 1205 Montgomery St,https://southsideyouthsenter.com/,Wichita Falls,TX,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Tyler,Preston,Tyler Preston,Executive Director,southsideyouthsenter.com,tyler.preston@southsideyouthsenter.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://southsideyouthsenter.com/ | https://southsideyouthsenter.com/staff/ | https://southsideyouthsenter.com/about/employmentvolunteer-opportunities/ | https://southsideyouthsenter.com/home/child-care/registration-and-program-fees/
TX-REVIEW-0003,1 United Volleyball Club,https://1unitedvolleyball.com/,Frisco,TX,College / University,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Bill,Raitt,Bill Raitt,Club Director,1unitedvolleyball.com,bill@1unitedvolleyball.com,info@1unitedvolleyball.com,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://1unitedvolleyball.com/ | https://1unitedvolleyball.com/about/about-1-united/ | https://1unitedvolleyball.com/about/leadership/ | https://1unitedvolleyball.com/about/our-coaches/ | https://1unitedvolleyball.com/about/jobs/ | https://1unitedvolleyball.com/contact/
TX-REVIEW-0004,3 Ball Basketball Academy,https://www.3ballrgv.com/,,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,3ballrgv.com,coachrios@3ballrgv.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.3ballrgv.com/ | https://www.3ballrgv.com/about | https://www.3ballrgv.com/contact
TX-REVIEW-0005,360 Volleyball,https://www.360volleyball.com/,Arlington,TX,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,360volleyball.com,,info@360volleyball.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.360volleyball.com/ | https://www.360volleyball.com/programs | https://www.360volleyball.com/page/show/3623098-contact-us | https://www.360volleyball.com/page/show/3925524-about-360 | https://www.360volleyball.com/page/show/6555539-facility-rental
TX-REVIEW-0006,365 Sports Complex,https://www.365sportscomplex.net/,,TX,Indoor Sports Complex,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,365sportscomplex.net,,info@365sportscomplex.net,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.365sportscomplex.net/ | https://www.365sportscomplex.net/guidelines | https://www.365sportscomplex.net/pricingandhours | https://www.365sportscomplex.net/contact
TX-REVIEW-0007,4 Quarters Gym,https://4quartersgym.com/,Richmond,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,4quartersgym.com,milenabbrandao@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://4quartersgym.com/ | https://4quartersgym.com/about-us-1 | https://4quartersgym.com/the-facility
TX-REVIEW-0008,411 Buzz City Guide,https://www.411buzzcityguide.com/,Eagle Pass,TX,Unknown,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,411buzzcityguide.com,,hello@411buzzcityguide.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.411buzzcityguide.com/ | https://www.411buzzcityguide.com/about/contact | https://www.411buzzcityguide.com/search_results | https://www.411buzzcityguide.com/community-partner-information-sharing-program | https://www.411buzzcityguide.com/about/terms | https://www.411buzzcityguide.com/about/privacy
TX-REVIEW-0009,4th Quarter Athlete | Player Platform,https://www.4thquarterathlete.com/,Austin,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,4thquarterathlete.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.4thquarterathlete.com/ | https://www.4thquarterathlete.com/about | https://www.4thquarterathlete.com/contact
TX-REVIEW-0010,Abilene Swim Club,https://www.abileneswimclub.com/,Abilene,TX,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,abileneswimclub.com,poolmanager@abileneswimclub.com,info@abileneswimclub.com,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.abileneswimclub.com/ | https://www.abileneswimclub.com/contact-us | https://www.abileneswimclub.com/about | https://www.abileneswimclub.com/team | https://www.abileneswimclub.com/becomeamember
TX-REVIEW-0011,Abilene Tennis Association (ATA),https://abilenetennis.org/,Abilene,TX,Racquet / Tennis Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Benny,Morentin,Benny Morentin,President,abilenetennis.org,,,benny@abilenetennis.org,benny.morentin@abilenetennis.org,bennymorentin@abilenetennis.org,bmorentin@abilenetennis.org,b.morentin@abilenetennis.org,bennym@abilenetennis.org,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://abilenetennis.org/ | https://abilenetennis.org/about-us/
TX-REVIEW-0012,Above The Rest Basketball,https://atr-basketball.com/,Farmers Branch,TX,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,atr-basketball.com,abovetherestbasketball@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://atr-basketball.com/ | https://atr-basketball.com/pages/about
TX-REVIEW-0013,Aces Elite Select,https://www.aceseliteselect.com/,Kyle,TX,Unknown,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,aceseliteselect.com,emmanuelchaney0@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.aceseliteselect.com/ | https://www.aceseliteselect.com/our-programs | https://www.aceseliteselect.com/about-aces-elite-select | https://www.aceseliteselect.com/sponsorships/contact
TX-REVIEW-0014,ACES Volleyball,https://www.acesvbschool.com/,Missouri City,TX,School,tennis; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acesvbschool.com,,info@acesvbschool.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.acesvbschool.com/ | https://www.acesvbschool.com/about | https://www.acesvbschool.com/school
TX-REVIEW-0015,Aldine ISD,https://www.aldineisd.org/,Houston,TX,School,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Kimberley,Booker,Kimberley Booker,President,board.aldineisd.org,knbooker@board.aldineisd.org,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.aldineisd.org/ | https://www.aldineisd.org/about/departments/ | https://www.aldineisd.org/about/ | https://www.aldineisd.org/about/school-board/ | https://www.aldineisd.org/about/school-board/meeting-schedule/ | https://www.aldineisd.org/about/school-board/board-material/ | https://www.aldineisd.org/about/school-board/meeting-recordings/
TX-REVIEW-0016,All Star Basketball,https://www.asbasketball.com/,Mcallen,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,asbasketball.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.asbasketball.com/ | https://www.asbasketball.com/gym-rental
TX-REVIEW-0017,ALL-IN Basketball Academy,https://allinbasketballacademy.com/,League City,TX,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Colbert,Prince,Colbert Prince,Founder,allinbasketballacademy.com,,,colbert@allinbasketballacademy.com,colbert.prince@allinbasketballacademy.com,colbertprince@allinbasketballacademy.com,cprince@allinbasketballacademy.com,c.prince@allinbasketballacademy.com,colbertp@allinbasketballacademy.com,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://allinbasketballacademy.com/ | https://allinbasketballacademy.com/about-us | https://allinbasketballacademy.com/programs | https://allinbasketballacademy.com/contact-us-aiba
TX-REVIEW-0018,AllAmericanBasketballCamp,https://www.allamericanbc.com/,Rosenberg,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,allamericanbc.com,,info@allamericanbc.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.allamericanbc.com/ | https://www.allamericanbc.com/memberships | https://www.allamericanbc.com/pehs | https://www.allamericanbc.com/copy-of-pe-homeschool-athletics | https://www.allamericanbc.com/about | https://www.allamericanbc.com/about-3 | https://www.allamericanbc.com/contact-and-camp-locations
TX-REVIEW-0019,Allegiance Volleyball,https://allegiancevolleyball.com/,Liberty,TX,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,allegiancevolleyball.com,sean@allegiancevolleyball.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://allegiancevolleyball.com/ | https://allegiancevolleyball.com/about-us/ | https://allegiancevolleyball.com/contact/
TX-REVIEW-0020,Allen Academy,https://allenacademy.org/,Bryan,TX,YMCA / JCC,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,allenacademy.org,,info@allenacademy.org,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://allenacademy.org/
TX-REVIEW-0021,Allen Eagles Tennis,https://www.alleneaglestennis.com/,Allen,TX,Racquet / Tennis Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Lauren,Newby,Lauren Newby,President,alleneaglestennis.com,,,lauren@alleneaglestennis.com,lauren.newby@alleneaglestennis.com,laurennewby@alleneaglestennis.com,lnewby@alleneaglestennis.com,l.newby@alleneaglestennis.com,laurenn@alleneaglestennis.com,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://www.alleneaglestennis.com/
TX-REVIEW-0022,Alodia Sports Academy,https://www.alodia-basketball-training.com/,Tomball,TX,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,6,"RENTAL LOCATIONS CYPRESS The Den 17120 House Hahl Rd Cypress, TX 77433 The Den - Cypress (6 Courts) TOMBALL Salem 22601 Lutheran Church Road Tomball, TX 77377 Salem - Tomball (2 courts) WE",,,,,alodiaconsulting.com,,info@alodiaconsulting.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://www.alodia-basketball-training.com/ | https://www.alodia-basketball-training.com/about-us | https://www.alodia-basketball-training.com/programs | https://www.alodia-basketball-training.com/page/show/3064762-contact | https://www.alodia-basketball-training.com/nowhiring | https://www.alodia-basketball-training.com/page/show/3069442-facility-rental
TX-REVIEW-0023,Amarillo Club 2024,https://amarilloclub.com/,Amarillo,TX,Private Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,amarilloclub.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. TX location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://amarilloclub.com/ | https://amarilloclub.com/about-us | https://amarilloclub.com/membership | https://amarilloclub.com/contact-us
