Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
OH-REVIEW-0001,Ace Pickleball Club,https://www.acepickleballclub.com/,Solon,OH,Pickleball Club,pickleball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acepickleballclub.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.acepickleballclub.com/ | https://www.acepickleballclub.com/championships | https://www.acepickleballclub.com/contact
OH-REVIEW-0002,Adrenaline Volleyball Club,https://www.adrenalinevbclub.com/,,OH,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,adrenalinevbclub.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.adrenalinevbclub.com/ | https://www.adrenalinevbclub.com/page/show/5352774-about-us
OH-REVIEW-0003,Advancement Academy Volleyball Club,https://advancementacademy.sportngin.com/,Lewis Center,OH,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,6,f the Ohio Valley Region (OVR) of USA Volleyball. The A2 girls program practices out of a 6 court facility in Lewis Center called the A2 Sports Gardens. We hope you can find what you are,,,,,advancementacademy.sportngin.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://advancementacademy.sportngin.com/ | https://advancementacademy.sportngin.com/aboutus | https://advancementacademy.sportngin.com/facilities | https://advancementacademy.sportngin.com/page/show/6200840-contact-us
OH-REVIEW-0004,Apex Volleyball Training Center,https://www.apexvbtc.com/,,OH,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,apexvbtc.com,,,,,,,,,4,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.apexvbtc.com/ | https://www.apexvbtc.com/custom_pages/135850/apex-staff | https://www.apexvbtc.com/staff_pages/127174/our-staff | https://www.apexvbtc.com/custom_pages/138780/join-our-team
OH-REVIEW-0005,Athlete Headquarters,https://www.athleteheadquarters.com/,Sylvania,OH,Private Club,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,athleteheadquarters.com,athletehq.austin@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.athleteheadquarters.com/ | https://www.athleteheadquarters.com/page/show/5882562-about
OH-REVIEW-0006,Athletic Performance Training Center,https://aptcstrength.com/,Youngstown,OH,Unknown,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,aptcstrength.com,blebo3@yahoo.com,admin@aptcstrength.com,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://aptcstrength.com/ | https://aptcstrength.com/about-us/ | https://aptcstrength.com/facility/ | https://aptcstrength.com/programs-and-pricing/ | https://aptcstrength.com/contact-us/
OH-REVIEW-0007,Beachwood Recreation Association,https://www.beachwoodrec.org/,,OH,Private Club,pickleball; tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,beachwoodrec.org,,membership@beachwoodrec.org,,,,,,,12,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.beachwoodrec.org/ | https://www.beachwoodrec.org/contact/ | https://www.beachwoodrec.org/membership/manage-account/ | https://www.beachwoodrec.org/about/ | https://www.beachwoodrec.org/about/board-of-directors/ | https://www.beachwoodrec.org/about/bylaws/ | https://www.beachwoodrec.org/about/rules-regulations/
OH-REVIEW-0008,BestProsInTown,https://www.bestprosintown.com/,,OH,Unknown,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,bestprosintown.com,press@bestprosintown.com,support@bestprosintown.com,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.bestprosintown.com/ | https://www.bestprosintown.com/blog/why-local-businesses-need-google-business-profile/ | https://www.bestprosintown.com/about.php | https://www.bestprosintown.com/contact.php
OH-REVIEW-0009,Borromeo Seminary | Catholic Diocese of Cleveland,https://borromeoseminary.org/,Wickliffe,OH,College / University,tennis; basketball; racquetball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,2,"rights reserved. | Website design by Ten10 Design LLC Human Formation - Borromeo Seminary Two basketball courts, two racquetball courts, two soccer fields, a tennis court ... Wickliffe, OH 44092 (440)",Rector,Andrew,Rector Andrew,President,borromeoseminary.org,,,rector@borromeoseminary.org,rector.andrew@borromeoseminary.org,rectorandrew@borromeoseminary.org,randrew@borromeoseminary.org,r.andrew@borromeoseminary.org,rectora@borromeoseminary.org,2,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://borromeoseminary.org/ | https://borromeoseminary.org/about-us/history/ | https://borromeoseminary.org/about-us/ | https://borromeoseminary.org/academics/college-program/ | https://borromeoseminary.org/academics/college-program/course-descriptions/ | https://borromeoseminary.org/academics/philosophy/program-for-priestly-formation/ | https://borromeoseminary.org/academics/college-program/faculty/
OH-REVIEW-0010,Brookside Golf & Country Club,https://brooksidegcc.com/,Columbus,OH,Country Club,pickleball; tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,3,"e state~of~the~art Athletic Facility houses a fitness center, five Har~Tru tennis courts, three Pickleball courts, two platform tennis courts, a Z~shaped Olympic size swimming pool, and a year-round golf",Laurie,Steller,Laurie Steller,Director of Membership,brooksidegcc.com,laurie@brooksidegcc.com,,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. OH location evidence: address. Paid access signals present (membership/rental/program).",https://brooksidegcc.com/ | https://brooksidegcc.com/Membership | https://brooksidegcc.com/About_Us | https://brooksidegcc.com/About_Us/Map_Directions | https://brooksidegcc.com/About_Us/Employment | https://brooksidegcc.com/Membership_Banquets
