Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
NC-REVIEW-0001,- The Farmington Center,https://thefarmingtoncenter.com/,Farmington,NC,School,pickleball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,3,armington is the place to be! Mountain Biking Trails Hiking/Walking Trails Softball Field Three Pickleball Courts Davie Disc Golf Course Bangin’Chainz Disc Golf Store Onsite Davie Disc Golf Club Fishing,,,,,thefarmingtoncenter.com,farmingtoncc@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://thefarmingtoncenter.com/ | https://thefarmingtoncenter.com/about/ | https://thefarmingtoncenter.com/contact-2/ | https://thefarmingtoncenter.com/contact/
NC-REVIEW-0002,411 - America,https://411.info/,Charlotte,NC,Unknown,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,411.info,,,,,,,,,3,"Court sports found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.",https://411.info/ | https://411.info/about | https://411.info/contact | https://411.info/business-directory
NC-REVIEW-0003,AATW (All About The Work) | Athlete,https://www.aatwacademy.com/,Jacksonville,NC,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,aatwacademy.com,,,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.aatwacademy.com/ | https://www.aatwacademy.com/about | https://www.aatwacademy.com/training | https://www.aatwacademy.com/contact
NC-REVIEW-0004,ABYSA/HFC Winter Futsal for all players - Asheville,https://www.abysa.org/,,NC,School,futsal,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,abysa.org,,info@abysa.org,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.abysa.org/ | https://www.abysa.org/Default.aspx
NC-REVIEW-0005,Ace Tennis,https://acetennisdurham.com/,Durham,NC,Racquet / Tennis Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acetennisdurham.com,acetennisdurham@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://acetennisdurham.com/ | https://acetennisdurham.com/about/ | https://acetennisdurham.com/junior-clinics/ | https://acetennisdurham.com/contact/
NC-REVIEW-0006,Albemarle NC FCA,https://www.fcaultra.org/,Albemarle,NC,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,fcaultra.org,fcaultravbc@gmail.com,,,,,,,,1,"Court sports found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.",https://www.fcaultra.org/ | https://www.fcaultra.org/Default.aspx
NC-REVIEW-0007,Albemarle Plantation,https://albemarleplantation.com/,Hertford,NC,Unknown,pickleball; tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,albemarleplantation.com,,info@albemarleplantation.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://albemarleplantation.com/ | https://albemarleplantation.com/about/ | https://albemarleplantation.com/meet-the-developers/ | https://albemarleplantation.com/contact-us/
NC-REVIEW-0008,Altitude Tennis Academy,https://www.altitudetennisacademy.com/,Huntersville,NC,Racquet / Tennis Club,pickleball; tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Robbie,Mudge,Robbie Mudge,Founder,altitudetennisacademy.com,,,robbie@altitudetennisacademy.com,robbie.mudge@altitudetennisacademy.com,robbiemudge@altitudetennisacademy.com,rmudge@altitudetennisacademy.com,r.mudge@altitudetennisacademy.com,robbiem@altitudetennisacademy.com,1,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://www.altitudetennisacademy.com/ | https://www.altitudetennisacademy.com/new-page-1 | https://www.altitudetennisacademy.com/staff1 | https://www.altitudetennisacademy.com/contact-1
NC-REVIEW-0009,"Apartments in Shallotte, NC",https://www.tidesofshallotte.com/,Shallotte,NC,Unknown,pickleball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,tidesofshallotte.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.tidesofshallotte.com/
NC-REVIEW-0010,Apex Spurs,https://apexspursbasketball.com/,Clayton,NC,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,apexspursbasketball.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://apexspursbasketball.com/ | https://apexspursbasketball.com/contact/ | https://apexspursbasketball.com/about/
