Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
FL-REVIEW-0001,"1 of 1 Fundamentals Offers Basketball Skill Development in West Palm Beach, FL 33411",https://1of1fundamentals.com/,West Palm Beach,FL,Unknown,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,1of1fundamentals.com,oneofonefundamentals@yahoo.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://1of1fundamentals.com/ | https://1of1fundamentals.com/contact | https://1of1fundamentals.com/about
FL-REVIEW-0002,305 Volleyball Club,https://305vbc.com/,Doral,FL,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,305vbc.com,,info@305vbc.com,,,,,,,1,"Court sports found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.",https://305vbc.com/ | https://305vbc.com/club/aboutus | https://305vbc.com/club/ourstaff | https://305vbc.com/club/facilities | https://305vbc.com/club/programs | https://305vbc.com/club/contact
FL-REVIEW-0003,407 Volleyball Club,https://www.407volleyballclub.com/,Ocoee,FL,School,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,407volleyballclub.com,,info@407volleyballclub.com,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.407volleyballclub.com/ | https://www.407volleyballclub.com/page/show/9003225-about-us | https://www.407volleyballclub.com/page/show/9003230-programs | https://www.407volleyballclub.com/page/show/8992104-contact-us-
FL-REVIEW-0004,AAU,https://aausports.org/,Lake Buena Vista,FL,Private Club,basketball; volleyball; badminton,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,aausports.org,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://aausports.org/
FL-REVIEW-0005,Academy at the Lakes,https://academyatthelakes.org/,Dowling College M.S,FL,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Amy,Warnock,Amy Warnock,Director of Operations,academyatthelakes.org,,,amy@academyatthelakes.org,amy.warnock@academyatthelakes.org,amywarnock@academyatthelakes.org,awarnock@academyatthelakes.org,a.warnock@academyatthelakes.org,amyw@academyatthelakes.org,0,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.",https://academyatthelakes.org/ | https://academyatthelakes.org/about-us/ | https://academyatthelakes.org/about-us/leadership-staff/ | https://academyatthelakes.org/about-us/news-events/ | https://academyatthelakes.org/about-us/careers/ | https://academyatthelakes.org/engage/ | https://academyatthelakes.org/experience/signature-experiences/
FL-REVIEW-0006,Ace Pickleball Club,https://www.acepickleballclub.com/,Fort Myers,FL,Pickleball Club,pickleball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acepickleballclub.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.acepickleballclub.com/ | https://www.acepickleballclub.com/championships | https://www.acepickleballclub.com/contact
FL-REVIEW-0007,"Addison Reserve Country Club Delray Beach, Florida",https://www.addisonreserve.cc/,Delray Beach,FL,Country Club,pickleball; tennis; basketball; squash; padel,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,4,"Beach Our Lifestyle | Addison Reserve Country Club, Delray Beach Bring your swing to our 4 padel courts. Combining strategy from tennis and squash, this fun game is played in an enclosed court",,,,,addisonreserve.cc,denises@addisonreserve.cc,admin@addisonreserve.cc,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://www.addisonreserve.cc/ | https://www.addisonreserve.cc/our-story/directions | https://www.addisonreserve.cc/our-story | https://www.addisonreserve.cc/membership
FL-REVIEW-0008,Admirals Cove,https://admiralscove.com/,Jupiter,FL,Country Club,tennis,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,15,"($80 green fee + $32 cart fee), as well as court fees for use of the tennis facilities ($15 court fee). Marina Membership With over five miles of secluded waterway, our residents have the",,,,,admiralscove.com,mailtoinfo@admiralscove.com,info@admiralscove.com,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).",https://admiralscove.com/ | https://admiralscove.com/membership-information/ | https://admiralscove.com/contact/
FL-REVIEW-0009,Adult Recreational Sports Leagues in Miami,https://koalasports.com/,,FL,Athletic Center,pickleball; basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,koalasports.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://koalasports.com/
FL-REVIEW-0010,Agape Miami Volleyball Club,https://www.agapemiamivolleyball.com/,,FL,Private Club,volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,agapemiamivolleyball.com,agapemvc@outlook.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. FL location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.agapemiamivolleyball.com/ | https://www.agapemiamivolleyball.com/trainingprogram | https://www.agapemiamivolleyball.com/aboutus
