Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
10 Federal Storage,https://10federalstorage.com/,Winterville,NC,Unknown,basketball,Indoor,,,,,,,,,,,,,,10federalstorage.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://10federalstorage.com/ | https://10federalstorage.com/contact-us | https://10federalstorage.com/storage-management-services | https://10federalstorage.com/about-us,Playwright,https://10federalstorage.com,https://10federalstorage.com/,
2-4-1Play,https://241play.org/,Maryland,NC,Unknown,pickleball; tennis; basketball; volleyball; badminton,Indoor,,,Kevin,Rivera,Program Director,,info@241play.org,kevin@241play.org,kevin.rivera@241play.org,kevinrivera@241play.org,krivera@241play.org,k.rivera@241play.org,kevinr@241play.org,241play.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://241play.org/ | https://241play.org/about/ | https://241play.org/schools-and-community/ | https://241play.org/programs/ | https://241play.org/program/fencing/ | https://241play.org/program/africa/ | https://241play.org/program/bjm/,Playwright,https://241play.org,https://241play.org/,
316 Sports > Home,https://www.316-sports.com/,Indian Trail,NC,School,pickleball; basketball; volleyball; futsal,Indoor,,,,,,,,,,,,,,316-sports.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.316-sports.com/ | https://www.316-sports.com/Default.aspx,Playwright,https://316-sports.com,https://www.316-sports.com/,
ABC11 Raleigh-Durham,https://abc11.com/,Raleigh,NC,School,pickleball; tennis,Indoor,,,Rob,Elmore,General Manager,,,rob@abc11.com,rob.elmore@abc11.com,robelmore@abc11.com,relmore@abc11.com,r.elmore@abc11.com,robe@abc11.com,abc11.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,"https://abc11.com/ | https://abc11.com/watch/11065013/ | https://abc11.com/about/newsteam/diane-wilson/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/post/holly-christina-photography-raleigh-wedding-owners-speak-court-were-trying-hardest/19657935/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/about/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/post/contact-abc11-wtvd-eyewitness-news/26170/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513%2Ckabc_content_recs-577*variant_a_control-2480%2Cwls_content_recs-584*variant_b_trending_wls-2517%2Cwtvd_content_recs-585*variant_b_trending_wtvd-2519%2Cktrk_content_recs-587*variant_a_control_ktrk-2522%2Cwpvi_content_recs-586*variant_a_control_wpvi-2520%2Cotv_web_content_rec-539*variant_c_trending-2268%2Cotv_web_topic-580*variant_b_topic_redesign-2509%2Cotv_search_page_design_unification-546*variant_b_search_redesign-2300%2Ckgo_content_recs-583*variant_b_trending_kgo-2515%2Cabcn_popular_reads_exp-542*variant_b_7days_filter-2288%2Cotvlink_abcnnav-576*variant_a_control-2478&userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513%2Ckabc_content_recs-577*variant_a_control-2480%2Cwls_content_recs-584*variant_b_trending_wls-2517%2Cwtvd_content_recs-585*variant_b_trending_wtvd-2519%2Cktrk_content_recs-587*variant_a_control_ktrk-2522%2Cwpvi_content_recs-586*variant_a_control_wpvi-2520%2Cotv_web_content_rec-539*variant_c_trending-2268%2Cotv_web_topic-580*variant_b_topic_redesign-2509%2Cotv_search_page_design_unification-546*variant_b_search_redesign-2300%2Ckgo_content_recs-583*variant_b_trending_kgo-2515%2Cabcn_popular_reads_exp-542*variant_b_7days_filter-2288%2Cotvlink_abcnnav-576*variant_a_control-2478",Playwright,https://abc11.com,https://abc11.com/,
Accelerate Bball,https://www.acceleratebasketball.com/,,NC,School,basketball,Indoor,,,Brandon,Payne,Founder,,,brandon@acceleratebasketball.com,brandon.payne@acceleratebasketball.com,brandonpayne@acceleratebasketball.com,bpayne@acceleratebasketball.com,b.payne@acceleratebasketball.com,brandonp@acceleratebasketball.com,acceleratebasketball.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: phone. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.acceleratebasketball.com/ | https://www.acceleratebasketball.com/our-team | https://www.acceleratebasketball.com/about-us,Playwright,https://acceleratebasketball.com,https://www.acceleratebasketball.com/,
Alamance County Recreation and Parks,https://alamance.recdesk.com/Community/Home,,NC,Health Club,basketball,Indoor,,,,,,,,,,,,,,alamance.recdesk.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://alamance.recdesk.com/Community/Home | https://alamance.recdesk.com/Community/Program | https://alamance.recdesk.com/Community/Membership | https://alamance.recdesk.com/Community/Facility,Playwright,https://alamance.recdesk.com,https://alamance.recdesk.com/Community/Home,
Altamont Property Group,https://altamontpropertygroup.com/,Asheville,NC,Unknown,pickleball; tennis,Indoor,6,"Bakersville, NC, Balsam, NC, Balsam Grove ... 8 lighted Har-Tru courts, 2 indoor courts, 6 indoor pickleball courts ... Apr 1, 2026 ... Marshville, NC, Marston, NC, Marvin, NC, Matthews, NC, Maxton, NC, Mc",,,,collin.oberry@gmail.com,,,,,,,,altamontpropertygroup.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages.,https://altamontpropertygroup.com/ | https://altamontpropertygroup.com/about/ | https://altamontpropertygroup.com/featured-listings/1013-fassifern-ct/,Playwright,https://altamontpropertygroup.com,https://altamontpropertygroup.com/,
APA Pickleball,https://apatournaments.com/,,NC,Pickleball Club,pickleball,Indoor,,,Tom,Davidson,Executive Director,davidson@apatournaments.com,,,,,,,,apatournaments.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: mention. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://apatournaments.com/ | https://apatournaments.com/about-us/ | https://apatournaments.com/product/the-fort-wayne-gold-cup-power-courts/ | https://apatournaments.com/contact-us/,Playwright,https://apatournaments.com,https://apatournaments.com/,
"Apex, NC",https://apexnc.org/,Apex,NC,Health Club,pickleball; tennis; basketball; volleyball; badminton,Indoor,,,,,,,,,,,,,,apexnc.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://apexnc.org/ | https://apexnc.org/223/Parks-Recreation-Cultural-Resources | https://apexnc.org/2050/Brown-Bags-to-Building-Bridges-B4-Series | https://apexnc.org/2014/Billing-Updates | https://apexnc.org/423/Youth-Athletics | https://apexnc.org/m/directory | https://cpauthentication.civicplus.com/Identity/Account/Login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3D9a8dd6bf-be94-451e-a313-545d7ce80a46%26redirect_uri%3Dhttps%253A%252F%252Fwww.apexnc.org%252FIdentityServer%252FSignInCallback%26response_type%3Dcode%2520id_token%2520token%26scope%3Dopenid%2520profile%2520email%2520account.api%26state%3D4666b4dda8e14269984c3180e522b44c_https%253A%252F%252Fwww.apexnc.org%252Fmyaccount%252Fprofile%26nonce%3D041c6bd7b712462687b93503ece8d53e%26response_mode%3Dform_post%26acr_values%3DOrgBranding%253A5d33191e-c82f-40e0-afac-a55d37ef7cdc%26code_challenge%3Dd7f598df46971a5220a15e5618394c06b52508d926beeb931f6b36a66970ff6e%26code_challenge_method%3DS256%26login_origin_uri%3Dhttps%253A%252F%252Fwww.apexnc.org%252Fmyaccount%252Fprofile,Playwright,https://apexnc.org,https://apexnc.org/,
Arendell Parrott Academy,https://www.parrottacademy.org/,Kinston,NC,College / University,basketball,Indoor,,,Matt,Beaman,Director of Operations,mbeaman@parrottacademy.org,,,,,,,,parrottacademy.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.parrottacademy.org/ | https://www.parrottacademy.org/about-apa | https://www.parrottacademy.org/about-apa/head-of-schools-welcome | https://www.parrottacademy.org/about-apa/mission-philosphy-history | https://www.parrottacademy.org/about-apa/our-community | https://www.parrottacademy.org/about-apa/faculty-staff | https://www.parrottacademy.org/about-apa/what-our-alumni-have-to-say,Playwright,https://parrottacademy.org,https://www.parrottacademy.org/,
