Facility ID,Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Qualification Status,Indoor Evidence,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Full Name,Decision Maker Title,Company Domain,Published Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Emails Found,Research Notes,Source URLs
PA-REVIEW-0001,1ST SUMMIT ARENA @ Cambria County War Memorial,https://1stsummitarena.com/,Johnstown,PA,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,1stsummitarena.com,,,,,,,,,2,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://1stsummitarena.com/ | https://1stsummitarena.com/about/faqs/ | https://1stsummitarena.com/about/tickets-box-office/ | https://1stsummitarena.com/about/seating/ | https://1stsummitarena.com/about/parking/ | https://1stsummitarena.com/about/ada/ | https://1stsummitarena.com/about/concessions/
PA-REVIEW-0002,Abington Youth Basketball League > Home,https://www.abingtonyouthbasketball.org/,Clarks Summit,PA,School,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,abingtonyouthbasketball.org,ayblinfo@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.abingtonyouthbasketball.org/ | https://www.abingtonyouthbasketball.org/Default.aspx
PA-REVIEW-0003,AC United Soccer Club - Abington,https://www.acunited.org/,Abington,PA,College / University,futsal,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acunited.org,,info@acunited.org,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.acunited.org/ | https://www.acunited.org/Default.aspx
PA-REVIEW-0004,Ace Grind LLC | Ace Grind Headquarters,https://www.theacegrind.com/,A Bridgeport,PA,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,theacegrind.com,theacegrind@gmail.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.theacegrind.com/ | https://www.theacegrind.com/about
PA-REVIEW-0005,Ace Pickleball Club,https://www.acepickleballclub.com/,Downingtown,PA,Pickleball Club,pickleball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,acepickleballclub.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.acepickleballclub.com/ | https://www.acepickleballclub.com/championships | https://www.acepickleballclub.com/contact
PA-REVIEW-0006,Advanced Hoops,https://advancedhoops.com/,,PA,Unknown,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,advancedhoops.com,advancedhoops@gmail.com,,,,,,,,1,"Court sports found, but indoor/outdoor not stated. PA location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank.",https://advancedhoops.com/ | https://advancedhoops.com/contact-us
PA-REVIEW-0007,All Stars Academy,https://allstarsacademypa.com/,Ambler,PA,College / University,basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,allstarsacademypa.com,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://allstarsacademypa.com/ | https://allstarsacademypa.com/about/ | https://allstarsacademypa.com/contact/
PA-REVIEW-0008,all-day-hoops,https://www.alldayhoops.com/,,PA,Athletic Center,tennis; basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,Ryan,Lestochi,Ryan Lestochi,Founder,alldayhoops.com,ryan@alldayhoops.com,,,,,,,,1,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: phone. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.alldayhoops.com/ | https://www.alldayhoops.com/skillsprograms | https://www.alldayhoops.com/about-all-day-hoops-altoona | https://www.alldayhoops.com/contact-all-day-hoops-altoona
PA-REVIEW-0009,"Allegheny County, PA",https://www.alleghenycounty.us/Home,Pittsburgh,PA,Unknown,pickleball; tennis; basketball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,alleghenycounty.us,,,,,,,,,0,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.alleghenycounty.us/Home | https://www.alleghenycounty.us/Events-Directory | https://www.alleghenycounty.us/Government/Department-Directory | https://www.alleghenycounty.us/Government/Department-Directory/Management-and-Budget | https://www.alleghenycounty.us/Government/County-Jail/Programs-and-Services | https://www.alleghenycounty.us/Government/Court-Related | https://alleghenycountyda.us/
PA-REVIEW-0010,Alloy5,https://www.alloy5.com/,Bethlehem,PA,School,basketball; volleyball,Unclear,Needs Review,Court sport confirmed on the facility site; no explicit indoor or outdoor statement found on the crawled pages. Needs a human check of the website or a call before outreach.,,,,,,,alloy5.com,,info@alloy5.com,,,,,,,36,"Court sports and paid access found, but indoor/outdoor not stated. PA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).",https://www.alloy5.com/ | https://www.alloy5.com/about/ | https://www.alloy5.com/contact/
