Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
310volleyball,https://www.310volleyball.org/,Torrance,CA,School,volleyball,Indoor,,,,,,310sportsacademy@gmail.com,,,,,,,,310volleyball.org,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.310volleyball.org/ | https://www.310volleyball.org/general/whole-athlete-program | https://www.310volleyball.org/general/facility | https://www.310volleyball.org/programs/summer | https://www.310volleyball.org/programs/fall | https://www.310volleyball.org/programs/spring | https://www.310volleyball.org/programs/adult,Playwright,https://310volleyball.org,https://www.310volleyball.org/,
5 vs. 5 Indoor Turf Tournament - shastabiz.com,https://shastabiz.com/,,CA,Unknown,futsal,Indoor,,,Eduardo,Souza,Co-Founder,,support@shastabiz.com,eduardo@shastabiz.com,eduardo.souza@shastabiz.com,eduardosouza@shastabiz.com,esouza@shastabiz.com,e.souza@shastabiz.com,eduardos@shastabiz.com,shastabiz.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://shastabiz.com/ | https://shastabiz.com/business-directory | https://shastabiz.com/about_us | https://shastabiz.com/best-local-business-directory | https://shastabiz.com/contacts/new,Playwright,https://shastabiz.com,https://shastabiz.com/,
A4 Volleyball Club,https://a4volley.com/,San Diego,CA,Private Club,volleyball,Indoor,5,"nty, with a second A4 Volley location coming soon in San Diego. A4 VOLLEY TRAINING CENTER Five indoor courts, Taraflex flooring, spectator lounge, and the daily home for A4 training. 74 Icon, Foothi",,,,,info@a4volley.com,,,,,,,a4volley.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://a4volley.com/ | https://a4volley.com/programs/ | https://a4volley.com/facility/ | https://a4volley.com/find-a-class/ | https://a4volley.com/programs/boys-club-tryouts/ | https://a4volley.com/contact/ | https://a4volley.com/programs/youth-league/,Playwright,https://a4volley.com,https://a4volley.com/,
Academy Volleyball,https://www.academyvolleyball.com/,,CA,College / University,volleyball,Indoor,,,Olta,Gremi,Owner,,admin@academyvolleyclub.com,olta@academyvolleyclub.com,olta.gremi@academyvolleyclub.com,oltagremi@academyvolleyclub.com,ogremi@academyvolleyclub.com,o.gremi@academyvolleyclub.com,oltag@academyvolleyclub.com,academyvolleyclub.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: phone. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.academyvolleyball.com/ | https://www.academyvolleyball.com/about/ | https://www.academyvolleyball.com/about/why-join-academy/ | https://www.academyvolleyball.com/about/starthere/ | https://www.academyvolleyball.com/about/staff/ | https://www.academyvolleyball.com/about/employment/ | https://www.academyvolleyball.com/contact/,Playwright,https://academyvolleyball.com,https://www.academyvolleyball.com/,
Acrisure Arena,https://acrisurearena.com/,,CA,College / University,basketball,Indoor,,,,,,,info@insider.acrisurearena.com,,,,,,,insider.acrisurearena.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://acrisurearena.com/ | https://acrisurearena.com/supplier-diversity-program/ | https://acrisurearena.com/coachella-valley-lakers-season-ticket-memberships-on-sale-now/,Playwright,https://acrisurearena.com,https://acrisurearena.com/,
"Adult Volleyball Leagues in Los Angeles, CA - LASportsNet",https://www.lasportsnet.com/,Los Angeles,CA,Private Club,pickleball; basketball; volleyball; futsal,Indoor,,,,,,,info@lasportsnet.com,,,,,,,lasportsnet.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.lasportsnet.com/,Playwright,https://register.lasportsnet.com,https://www.lasportsnet.com/,
Advantage Tennis Clubs,https://advantagetennisclubs.com/,,CA,Racquet / Tennis Club,tennis,Indoor,36,"ur child’s age, size, and experience! Prev Red 1 Age: 4-5 Level: Beginners Ball: Foam/Red Court: 36’x18’ Racquet: Up to 21″ Learning Objectives: Students learn hand-eye coordination and rac",,,,,play@advantagetennisclubs.com,,,,,,,advantagetennisclubs.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: mention. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://advantagetennisclubs.com/ | https://advantagetennisclubs.com/adult-programs-overview | https://advantagetennisclubs.com/adult-programs | https://advantagetennisclubs.com/junior-programs-overview | https://advantagetennisclubs.com/junior-programs | https://advantagetennisclubs.com/camps-overview,Playwright,https://advantagetennisclubs.com,https://advantagetennisclubs.com/,
Affordable Gyms & Fitness Centers,https://vnvfit.com/,,CA,Health Club,pickleball,Indoor,,,,,,privacypolicy@vnvfit.com,,,,,,,,vnvfit.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://vnvfit.com/ | https://vnvfit.com/about/privacy-policy | https://vnvfit.com/about/insurance | https://vnvfit.com/about | https://vnvfit.com/about/careers | https://vnvfit.com/about/companywellness | https://vnvfit.com/about/educator-discount,Playwright,https://vnvfit.com,https://vnvfit.com/,
Allen & Sons TTC,https://mypingpongclub.com/,Canoga Park,CA,Racquet / Tennis Club,tennis,Indoor,,,,,,mypingpongclub@gmail.com,,,,,,,,mypingpongclub.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://mypingpongclub.com/ | https://mypingpongclub.com/about/ | https://mypingpongclub.com/contact/,Playwright,https://mypingpongclub.com,https://mypingpongclub.com/,
American Beach Volleyball Club,https://americanbeachvolleyballclub.com/,Dana Point,CA,School,volleyball,Indoor,,,,,,,info@americanbeachvolleyballclub.com,,,,,,,americanbeachvolleyballclub.com,Confirmed Indoor,Indoor court language found on site. CA location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://americanbeachvolleyballclub.com/ | https://americanbeachvolleyballclub.com/summer-programs/ | https://americanbeachvolleyballclub.com/fall-programs/ | https://americanbeachvolleyballclub.com/contact-us/,Playwright,https://americanbeachvolleyballclub.com,https://americanbeachvolleyballclub.com/,
