Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
Indoor 5 Soccer,https://indoor5.com/,Las Vegas,NV,School,pickleball; basketball; futsal,Indoor,,,,,,,info@indoor5.com,,,,,,,indoor5.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://indoor5.com/ | https://indoor5.com/fuzion5athletics/ | https://indoor5.com/field-and-court-rentals/ | https://indoor5.com/van-rentals/ | https://indoor5.com/membership/ | https://indoor5.com/contact-us/,Playwright,https://indoor5.com,https://indoor5.com/,
Las Vegas Country Club,https://lasvegascc.clubhouseonline-e3.net/,Las Vegas,NV,Country Club,pickleball; tennis,Indoor,,,Adolph,Huddleston,Tennis Director,adolphh@lasvegascc.com,info@lasvegascc.com,,,,,,,lasvegascc.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://lasvegascc.clubhouseonline-e3.net/ | https://lasvegascc.clubhouseonline-e3.net/Membership | https://lasvegascc.clubhouseonline-e3.net/Contact_Us | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/membersfitness | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/membersfitness/membersmeetthedirector | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/memberstennis,Playwright,https://lasvegascc.clubhouseonline-e3.net,https://lasvegascc.clubhouseonline-e3.net/,
MaxPreps.com,https://www.maxpreps.com/,,NV,School,tennis; basketball; volleyball; badminton,Indoor,,,,,,kevinaskeland65@gmail.com,support@maxpreps.com,,,,,,,maxpreps.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.maxpreps.com/ | https://www.maxpreps.com/news/0TRn38OSxkafcGlQ-q0LcQ/valdosta%2c-massillon-washington-remain-atop-list-of-500-winningest-programs-in-high-school-football-history.htm,Playwright,https://maxpreps.com,https://www.maxpreps.com/,
NewsBreak,https://www.newsbreak.com/,Las Vegas,NV,Unknown,basketball,Indoor,,,Attorney,Vance,President,,,attorney@newsbreak.com,attorney.vance@newsbreak.com,attorneyvance@newsbreak.com,avance@newsbreak.com,a.vance@newsbreak.com,attorneyv@newsbreak.com,newsbreak.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.newsbreak.com/ | https://www.newsbreak.com/about | https://www.newsbreak.com/contact | https://www.newsbreak.com/upi-news-510013/4820740612216-maryland-man-follows-a-gut-feeling-to-100-000-lottery-prize | https://www.newsbreak.com/the-associated-press-510077/4819651962109-trump-announces-staff-secretary-will-scharf-will-be-his-new-white-house-counsel | https://www.newsbreak.com/fox-news-510075/4819738607642-trump-doubles-down-on-reflecting-pool-vandalism-allegations-cites-new-witness-account,Playwright,https://newsbreak.com,https://www.newsbreak.com/,
Sports West Athletic Club,https://sportswestathleticclub.com/,Reno,NV,Athletic Center,racquetball,Indoor,,,,,,,,,,,,,,sportswestathleticclub.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://sportswestathleticclub.com/ | https://sportswestathleticclub.com/membership/ | https://sportswestathleticclub.com/contact-us/ | https://sportswestathleticclub.com/membership-special-offer/ | https://sportswestathleticclub.com/classes/ | https://sportswestathleticclub.com/blogs/all-inclusive-gym-membership-reno/,Playwright,https://sportswestathleticclub.com,https://sportswestathleticclub.com/,
Sunward Steel Buildings,https://sunwardsteel.com/,Las Vegas,NV,School,tennis; basketball,Indoor,,,,,,,info@sunwardsteel.com,,,,,,,sunwardsteel.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://sunwardsteel.com/ | https://sunwardsteel.com/colorado/golden/spyderco-manufacturing-facility/ | https://sunwardsteel.com/colorado/parker/indoor-tennis-facility/ | https://sunwardsteel.com/new-hampshire/seabrook/prefabricated-steel-cold-storage-facility/ | https://sunwardsteel.com/canada/alberta/whitecourt/shop-and-commercial-office/ | https://sunwardsteel.com/canada/alberta/whitecourt/steel-shop-building-kit/ | https://sunwardsteel.com/connecticut/orange/prefabricated-metal-shop-and-shipping-facility/,Playwright,https://sunwardsteel.com,https://sunwardsteel.com/,
Vegas Volley,https://vegasvolley.com/,Las Vegas,NV,School,volleyball,Indoor,,,,,,,,,,,,,,vegasvolley.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://vegasvolley.com/ | https://vegasvolley.com/contact-us/ | https://vegasvolley.com/about/ | https://vegasvolley.com/about/about-coach-adam/ | https://vegasvolley.com/about-coach-brie/ | https://vegasvolley.com/about-coach-paul/,Playwright,https://vegasvolley.com,https://vegasvolley.com/,
Wilson Collegiate Tennis Camps,https://www.wilsontenniscamps.com/,,NV,Racquet / Tennis Club,tennis,Indoor,,,,,,,info@premiersportscamps.com,,,,,,,premiersportscamps.com,Confirmed Indoor,Indoor court language found on site. NV location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.wilsontenniscamps.com/ | https://www.wilsontenniscamps.com/contact/ | https://www.wilsontenniscamps.com/join-our-staff/ | https://www.wilsontenniscamps.com/locations/ | https://www.wilsontenniscamps.com/wilson-collegiate-tennis-camps/,Playwright,https://wilsontenniscamps.com,https://www.wilsontenniscamps.com/,
National Academy of Athletics,https://nationalacademyofathletics.com/,,NV,School,pickleball; basketball; volleyball,Indoor and outdoor,,,,,,,admin@nationalacademyofathletics.com,,,,,,,nationalacademyofathletics.com,Indoor and Outdoor,Both indoor and outdoor court language found on site. NV location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://nationalacademyofathletics.com/ | https://nationalacademyofathletics.com/become-a-community-partner/city-community-partners/ | https://nationalacademyofathletics.com/become-a-community-partner/school-community-partners/ | https://nationalacademyofathletics.com/become-a-community-partner/league-community-partner/ | https://nationalacademyofathletics.com/become-a-community-partner/community-partner-info-center/ | https://nationalacademyofathletics.com/become-a-community-partner/city-community-partners/camps-clinics/ | https://nationalacademyofathletics.com/recreational-league/,Playwright,https://nationalacademyofathletics.com,https://nationalacademyofathletics.com/,
Sports Destination Management,https://www.sportsdestinations.com/,,NV,School,pickleball; basketball; volleyball,Indoor and outdoor,,,,,,sales@sportsdestinations.com,info@sportsdestinations.com,,,,,,,sportsdestinations.com,Indoor and Outdoor,Both indoor and outdoor court language found on site. NV location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.sportsdestinations.com/ | https://www.sportsdestinations.com/sports/sports-facilities | https://www.sportsdestinations.com/sport-directory/search-page | https://www.sportsdestinations.com/about-us/about-us-4360 | https://www.sportsdestinations.com/contact-us/contact-us-1 | https://www.sportsdestinations.com/management/health/preseason-practice-starts-heat-safety-concerns-38026,Playwright,https://sportsdestinations.com,https://www.sportsdestinations.com/,
